epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1822.64,1.25103,2.38319,1.70206,0.78357,0.22014,0.26646,0.13169,1.60986,2.39335,2.31059,0.000277399,0.000277399,0.000277399
2,3663.23,1.27698,1.941,1.71181,0.53231,0.25205,0.26491,0.13548,1.59397,1.98052,2.18431,0.000533085,0.000533085,0.000533085
3,5513.37,1.29906,1.85331,1.72793,0.53788,0.39918,0.35505,0.18548,1.59567,1.80103,2.19436,0.00076678,0.00076678,0.00076678
4,7362.51,1.26668,1.77526,1.7027,0.60888,0.37412,0.37694,0.19221,1.57153,1.74984,2.22784,0.00073404,0.00073404,0.00073404
5,9151.24,1.22866,1.67649,1.67359,0.43456,0.38003,0.39173,0.21412,1.45224,1.59052,2.00325,0.000701053,0.000701053,0.000701053
6,10923.1,1.19171,1.61046,1.64373,0.59079,0.39263,0.43181,0.23776,1.42405,1.53688,1.97199,0.000668066,0.000668066,0.000668066
7,12854.8,1.17611,1.57742,1.63229,0.63639,0.41754,0.46523,0.26829,1.37026,1.46316,1.94183,0.000635079,0.000635079,0.000635079
8,15341.9,1.14358,1.5222,1.60871,0.50771,0.47068,0.49023,0.27903,1.35161,1.40868,1.89121,0.000602092,0.000602092,0.000602092
9,17287.1,1.13715,1.47923,1.59825,0.57725,0.51348,0.53369,0.30405,1.32456,1.33147,1.87748,0.000569106,0.000569106,0.000569106
10,18835.4,1.11344,1.42598,1.57596,0.62614,0.54687,0.56865,0.32969,1.32192,1.30146,1.83976,0.000536119,0.000536119,0.000536119
11,23255.9,1.09863,1.41105,1.5651,0.62847,0.5237,0.56831,0.32036,1.33908,1.26646,1.84784,0.000503132,0.000503132,0.000503132
12,26651.1,1.08811,1.36122,1.5594,0.62414,0.5076,0.54858,0.32549,1.31559,1.21911,1.84498,0.000470145,0.000470145,0.000470145
13,28189.9,1.06403,1.31562,1.54017,0.63715,0.5418,0.58106,0.33976,1.25332,1.19564,1.79621,0.000437158,0.000437158,0.000437158
14,29740.8,1.0622,1.31927,1.53518,0.68972,0.53123,0.6156,0.36373,1.2563,1.15305,1.80433,0.000404172,0.000404172,0.000404172
15,31433.6,1.06304,1.29488,1.53717,0.76829,0.55498,0.64856,0.38829,1.25137,1.12116,1.77988,0.000371185,0.000371185,0.000371185
16,33400.1,1.05038,1.11489,1.68262,0.62851,0.56543,0.62552,0.37765,1.19415,1.11736,1.72666,0.000338198,0.000338198,0.000338198
17,35035.3,1.01122,1.05013,1.63857,0.69624,0.56325,0.63821,0.38347,1.16955,1.1312,1.7181,0.000305211,0.000305211,0.000305211
18,36639.7,0.9935,1.00744,1.6254,0.73734,0.56618,0.64217,0.38572,1.17338,1.08644,1.70513,0.000272224,0.000272224,0.000272224
19,38449.7,0.96456,0.96746,1.59548,0.70129,0.60109,0.65929,0.40814,1.15167,1.04399,1.68493,0.000239238,0.000239238,0.000239238
20,40065.2,0.94731,0.92364,1.58108,0.76458,0.56569,0.65928,0.41435,1.12334,1.00174,1.65117,0.000206251,0.000206251,0.000206251
21,41685.9,0.92858,0.88414,1.56041,0.71264,0.62586,0.66549,0.42189,1.11947,0.99302,1.6552,0.000173264,0.000173264,0.000173264
22,43224.3,0.91177,0.85777,1.54233,0.72074,0.61421,0.67379,0.42692,1.10925,0.97222,1.63377,0.000140277,0.000140277,0.000140277
23,44749.4,0.89249,0.83449,1.52275,0.70827,0.62901,0.68585,0.43619,1.10577,0.95957,1.62722,0.00010729,0.00010729,0.00010729
24,46293.2,0.87241,0.80544,1.50141,0.7196,0.61988,0.6821,0.43589,1.09732,0.92183,1.62556,7.43036e-05,7.43036e-05,7.43036e-05
25,47829.2,0.85948,0.78992,1.49355,0.74021,0.62647,0.68669,0.44085,1.09003,0.92107,1.61794,4.13168e-05,4.13168e-05,4.13168e-05
